ID,Name,Supplier,Quantity,MOQ,Manufacturer Part,Unit Price,Extended,Supplier Part
0,4.7uF,LCSC,1,50,0402X475K100NT,$0.008,$0.40,C191541
1,100nF,",,",4,100,0402B104K160NT,$0.0009,$0.09,C41851
2,1uF,",,",1,100,0402X105M100NT,$0.0018,$0.18,C20616247
3,10uF,",,",1,50,0603X106K100NT,$0.0076,$0.38,C38898
4,10uF,",,",1,20,1206B106K160NT,$0.0318,$0.64,C39127
5,39pF,",,",2,100,0402CG390J500NT,$0.0011,$0.11,C1563
6,100nF,",,",1,100,0402B104J160NT,$0.0017,$0.17,C507422
7,2.2uF,",,",2,100,0402X225K6R3NT,$0.0046,$0.46,C193620
8,100nF,",,",14,100,CC0402KRX5R6BB104,$0.0012,$0.12,C129131
9,1uF,",,",1,100,0402X105K100NT,$0.0022,$0.22,C157353
10,10uF,",,",6,100,0402X106M6R3NT,$0.0068,$0.68,C163694
11,10uF,",,",1,20,RVT1E100M0405 10UF 25V,$0.0147,$0.29,C970655
12,680uF,",,",1,5,GVE1E687M1010CN,$0.1144,$0.57,C22383566
13,220uF,",,",1,1,EEETC1V221P,$0.4264,$0.43,C242130
14,22uF,",,",1,5,CA45-A-10V-22uF-K,$0.2016,$1.01,C503893
15,100nF,",,",1,50,CT41G-0805-2X1-50V-0.1uF-M(N),$0.0077,$0.39,C138340
16,22uF,",,",4,10,1206X226K100NT,$0.0364,$0.36,C1859
17,1nF,",,",1,30,1206B102K202NT,$0.0087,$0.26,C9196
18,1N5824,",,",1,5,1N5824,$0.0937,$0.47,C7503125
19,PZ254R-11-05P,",,",1,20,PZ254R-11-05P,$0.033,$0.66,C492413
20,HCB2012KF-601T20,",,",1,50,HCB2012KF-601T20,$0.0126,$0.63,C304329
21,2.2uH,",,",1,30,ANR3015T2R2M,$0.0333,$0.67,C6364793
22,33uH,",,",1,1,SMDRS1275-330N,$0.4284,$0.43,C163685
23,1uH,",,",1,10,PRS3015-1R0NT,$0.0403,$0.40,C96144
24,1kΩ,",,",2,100,RC-02K1001FT,$0.0006,$0.06,C140197
25,2.49kΩ,",,",1,100,RC-02K2491FT,$0.0003,$0.03,C140190
26,10kΩ,",,",4,100,RC-02K103JT,$0.0005,$0.05,C453512
27,1.1kΩ,",,",2,100,RC-02K1101FT,$0.0005,$0.05,C140223
28,22Ω,",,",2,100,RC-02K22R0FT,$0.0006,$0.06,C324769
29,2Ω,",,",2,100,RS-03L2R00FT,$0.0016,$0.16,C322115
30,HC911130A-M893-A,",,",1,1,HC612601A-M893-A,$2.1081,$2.11,C3021368
31,SL2.1A,",,",1,5,SL2.1A,$0.2259,$1.13,C192893
32,CP2102-GMR,",,",1,1,CP2102-GMR,$2.0802,$2.08,C6568
33,RTL8153B-VB-CG,",,",1,1,RTL8153B-VB-CG,$3.1424,$3.14,C2802072
34,TPD1E10B06DPYR,",,",6,20,TPD1E10B06DPYR,$0.0347,$0.69,C48260
35,IP5306,",,",1,5,IP5306,$0.2663,$1.33,C181692
36,SY8089AAAC,",,",1,5,SY8089AAAC,$0.1406,$0.70,C78988
37,93LC46/SN_C615396,",,",1,1,93LC46/SN,$1.49,$1.49,C615396
38,LM2596SX-5.0/NOPB,",,",1,1,LM2596SX-5.0/NOPB,$0.8835,$0.88,C10002
39,AMS1117-3.3,",,",1,5,AMS1117-3.3,$0.1641,$0.82,C6186
40,XL-3216UWC,",,",4,50,XL-3216UWC,$0.0096,$0.48,C965828
41,Test-Pad,",,",2,,,,,
42,USB-231-BRW,",,",1,,USB-231-BRW,,,C720526
43,25MHz,",,",1,,XXHCCLNANF-25.000000,,,C603160
44,12MHz,",,",1,,S47SMD12.000M20PF20R30B3,,,C5346045
45,PCB,,1,5,JLCPCB,$34.49,$0(Free Coupon),
46,Shipping,,,,JLCPCB + LCSC,$9.28 + $15.55,$24.83,

